Stock1,Stock2,SSD距离,相关性,协整p值,ADF p值
601860,600908,0.11449911822062915,0.9597262117667168,0.01830221959278754,0.0040482693100200445
601658,000001,0.22160850624990758,0.9137622934445763,0.0028536854814300546,0.005308285030383596
600926,601169,0.3022497766079492,0.9659714489795923,0.006829890473934222,0.006123019048737635
600908,002839,0.34542670845230455,0.9702467097437709,0.005565963155436396,0.0019753123942446715
002807,002966,0.3590097406147425,0.9459233114705832,0.0440621422588899,0.022957312547553156
601838,601577,0.3780636043290835,0.9651769510804777,0.04194528128398579,0.020952610700956897
601939,601169,0.38206653043920435,0.9435762450698303,0.03968965423904333,0.008873706449327674
600036,601665,0.41072856171958894,0.9635667001878848,0.018132241078722196,0.0043104386842009665
601860,002839,0.4387879820611163,0.9832830610166107,0.0014555990571665683,0.006971153126922602
600926,002807,0.5212910781632003,0.957876402894314,0.023498459366488512,0.0045147743786031055
601818,002807,0.6408524768227141,0.9545706270439647,0.02460311776892561,0.007087993880421307
601187,601998,0.7851922803262343,0.9399450998378164,0.016949623903177377,0.008293377532785588
601916,601998,1.6516671474687876,0.9608505902284751,0.03535660029520814,0.01563706520259184
002958,601825,1.7389522806648412,0.9469773020036368,0.004802886340939545,0.000316499804097915
601577,601825,1.955602446698489,0.9498936562920332,0.02033604918767302,0.002867075304161995
601838,601825,2.6340698496407366,0.9617280448763997,0.012228957435252747,0.0013137241414321401
600000,601998,4.428293137159917,0.9472125213041962,0.0033716300290851007,0.013420619162498136
002807,601825,4.775253738371556,0.9587949680193072,1.8938064416820237e-05,0.03196572631830879
600926,601825,7.377002850735342,0.9546826502366349,0.011123993987333278,0.005125792398352996
601825,601916,10.96175496908161,0.909351412469218,0.03139971218826287,0.009581311015918402
