序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,601187,厦门银行,7.7,3.91,0.29,249904,189352212.0,4.86,7.71,7.35,7.38,7.41,0.95,7.71,0.77
2,601398,工商银行,7.57,2.3,0.17,3198343,2397611177.0,2.97,7.58,7.36,7.37,7.4,0.12,7.32,0.7
3,601988,中国银行,5.67,1.8,0.1,2329561,1310710425.0,2.15,5.67,5.55,5.55,5.57,0.11,7.71,0.68
4,601963,重庆银行,10.45,1.65,0.17,142350,148301473.0,2.82,10.52,10.23,10.25,10.28,0.76,6.42,0.66
5,601328,交通银行,6.99,1.6,0.11,1597949,1111536960.0,2.03,7.0,6.86,6.88,6.88,0.61,6.46,0.54
6,601939,建设银行,9.56,1.49,0.14,1006783,952901098.0,2.76,9.57,9.31,9.33,9.42,1.05,7.38,0.72
7,601229,上海银行,9.92,1.33,0.13,327742,323533737.0,2.04,9.94,9.74,9.76,9.79,0.23,5.83,0.57
8,601577,长沙银行,9.59,0.84,0.08,135431,129146915.0,2.0,9.61,9.42,9.47,9.51,0.34,4.41,0.55
9,600015,华夏银行,7.2,0.84,0.06,482431,346581695.0,1.82,7.22,7.09,7.11,7.14,0.31,4.21,0.36
10,601009,南京银行,11.29,0.8,0.09,307036,345511274.0,1.7,11.32,11.13,11.15,11.2,0.25,6.4,0.77
11,601997,贵阳银行,5.78,0.7,0.04,251475,144440570.0,2.09,5.8,5.68,5.7,5.74,0.69,4.05,0.33
12,601825,沪农商行,8.96,0.67,0.06,134627,120900842.0,2.47,9.04,8.82,8.83,8.9,0.14,6.13,0.69
13,002807,江阴银行,4.55,0.66,0.03,312349,141260096.4,1.77,4.56,4.48,4.49,4.52,1.27,6.57,0.58
14,601169,北京银行,5.47,0.55,0.03,707263,385230995.0,1.1,5.47,5.41,5.42,5.44,0.33,4.12,0.42
15,600016,民生银行,3.85,0.52,0.02,1440092,552245804.0,1.57,3.86,3.8,3.81,3.83,0.41,4.43,0.3
16,001227,兰州银行,2.28,0.44,0.01,655072,148448473.92,2.2,2.29,2.24,2.25,2.27,1.55,6.47,0.43
17,601077,渝农商行,7.03,0.43,0.03,356535,250674829.0,2.0,7.09,6.95,7.02,7.0,0.4,6.58,0.61
18,601658,邮储银行,5.08,0.4,0.02,1121990,566691890.0,1.78,5.09,5.0,5.02,5.06,0.15,6.98,0.6
19,601860,紫金银行,2.77,0.36,0.01,302515,83278935.0,1.81,2.78,2.73,2.74,2.76,0.85,6.32,0.5
20,600926,杭州银行,16.63,0.36,0.06,154289,256739420.0,1.51,16.75,16.5,16.51,16.57,0.21,6.33,0.91
21,601916,浙商银行,3.1,0.32,0.01,981801,303357398.0,1.29,3.11,3.07,3.07,3.09,0.46,5.47,0.48
22,002142,宁波银行,30.19,0.3,0.09,103055,309750536.12,1.63,30.31,29.82,29.91,30.1,0.16,6.8,0.9
23,601128,常熟银行,7.12,0.28,0.02,239346,169821760.0,1.41,7.13,7.03,7.05,7.1,0.72,5.27,0.79
24,600928,西安银行,3.63,0.28,0.01,143666,51794308.0,2.21,3.64,3.56,3.61,3.62,0.32,5.95,0.47
25,601838,成都银行,17.09,0.23,0.04,110724,189222819.0,1.58,17.2,16.93,16.99,17.05,0.26,5.72,0.85
26,002839,张家港行,4.5,0.22,0.01,260429,117000659.8,1.56,4.53,4.46,4.46,4.49,1.07,5.25,0.6
27,600036,招商银行,39.52,0.2,0.08,544160,2142631448.0,1.12,39.57,39.13,39.24,39.44,0.26,6.64,0.91
28,601288,农业银行,6.49,0.15,0.01,1607647,1040191219.0,1.39,6.51,6.42,6.45,6.48,0.05,7.71,0.83
29,601166,兴业银行,18.71,0.05,0.01,523473,976041697.0,1.02,18.73,18.54,18.6,18.7,0.25,5.11,0.48
30,603323,苏农银行,4.89,0.0,0.0,193548,94133638.0,1.64,4.9,4.82,4.86,4.89,0.96,4.83,0.52
31,601818,光大银行,3.27,0.0,0.0,1256247,410668979.0,1.22,3.29,3.25,3.26,3.27,0.27,3.91,0.39
32,601665,齐鲁银行,5.73,0.0,0.0,393412,225221775.0,1.05,5.75,5.69,5.71,5.73,0.64,6.17,0.72
33,600919,江苏银行,10.81,0.0,0.0,579751,626405941.0,1.3,10.86,10.72,10.75,10.81,0.32,4.86,0.78
34,002966,苏州银行,8.34,0.0,0.0,184552,153672840.0,1.2,8.37,8.27,8.32,8.34,0.42,6.25,0.74
35,002958,青农商行,3.07,0.0,0.0,372524,113872091.32,1.63,3.08,3.03,3.06,3.07,0.68,3.86,0.46
36,002936,郑州银行,1.88,0.0,0.0,604211,112820168.64,1.6,1.88,1.85,1.87,1.88,0.86,5.63,0.37
37,000001,平安银行,11.0,-0.18,-0.02,509022,560363795.14,1.0,11.05,10.94,10.98,11.02,0.26,5.01,0.47
38,600000,浦发银行,9.99,-0.3,-0.03,306519,305540014.0,1.1,10.02,9.91,9.97,10.02,0.09,6.65,0.45
39,002948,青岛银行,5.1,-0.39,-0.02,437152,224604998.17,2.15,5.2,5.09,5.13,5.12,1.4,5.72,0.73
40,601998,中信银行,8.26,-0.72,-0.06,396965,329990738.0,1.44,8.37,8.25,8.31,8.32,0.1,6.51,0.63
41,601528,瑞丰银行,5.32,-0.75,-0.04,222672,118020523.0,1.31,5.33,5.26,5.3,5.36,1.28,5.31,0.53
42,600908,无锡银行,5.71,-2.06,-0.12,245769,139915610.0,2.57,5.79,5.64,5.74,5.83,1.23,5.43,0.56
